arrival_date,transit_per_arrival_day,complete_transit_per_arrival_day,complete_transit_dwell_time,complete_transit_idle_time
2022-01-01,166,158,9.662083333333333,5.207083333333335
2022-01-02,108,107,4.859166666666667,0.0
2022-01-03,99,98,8.860972222222223,3.890416666666667
2022-01-04,94,93,4.594166666666666,0.05555555555555555
2022-01-05,103,103,7.4,0.34444444444444444
2022-01-06,82,81,5.647222222222222,1.193888888888889
2022-01-07,109,108,13.167222222222222,6.199583333333335
2022-01-08,105,102,4.741666666666667,0.0
2022-01-09,95,95,9.7525,5.245277777777779
2022-01-10,122,122,6.293472222222222,0.21527777777777776
2022-01-11,85,84,4.633194444444445,0.0
2022-01-12,63,63,5.316111111111111,0.0
2022-01-13,79,77,4.225,0.0
2022-01-14,111,109,7.552777777777778,2.8952777777777783
2022-01-15,119,116,15.273194444444444,9.77652777777778
2022-01-16,88,88,4.399861111111111,0.0
2022-01-17,93,93,4.9863888888888885,0.0
2022-01-18,95,94,6.775,0.34388888888888886
2022-01-19,76,75,4.1525,0.0
2022-01-20,77,77,10.81638888888889,2.906111111111111
2022-01-21,113,112,12.422361111111112,6.992916666666668
2022-01-22,100,100,4.689861111111111,0.0
2022-01-23,63,63,28.90888888888889,15.15888888888889
2022-01-24,77,77,10.58611111111111,4.850000000000001
2022-01-25,109,108,4.198611111111111,0.0
2022-01-26,110,109,7.607222222222222,4.516388888888889
2022-01-27,104,102,5.472361111111111,0.9768055555555555
2022-01-28,144,144,14.889027777777777,8.160694444444449
2022-01-29,102,100,7.844861111111111,3.6047222222222226
2022-01-30,98,98,10.490833333333335,6.3805555555555555
2022-01-31,102,101,5.601944444444444,0.0
2022-02-01,92,91,5.421388888888889,0.39722222222222225
2022-02-02,116,110,4.035416666666666,0.0
2022-02-03,113,111,9.595555555555556,4.086111111111111
2022-02-04,93,93,6.8213888888888885,0.5080555555555556
2022-02-05,113,109,8.837777777777777,1.01
2022-02-06,113,98,4.467361111111111,0.0
2022-02-07,108,108,4.61888888888889,0.0
2022-02-08,79,79,4.575277777777778,0.0
2022-02-09,74,74,3.9584722222222224,0.0
2022-02-10,106,103,6.629166666666666,1.1672222222222222
2022-02-11,112,110,6.167916666666667,1.5387499999999998
2022-02-12,112,112,16.500555555555557,8.972222222222225
2022-02-13,113,112,10.218055555555555,6.048194444444444
2022-02-14,115,115,13.645555555555555,6.67888888888889
2022-02-15,108,107,6.778333333333333,1.5872222222222223
2022-02-16,136,136,4.448888888888889,0.0
2022-02-17,132,132,5.459722222222222,1.4244444444444444
2022-02-18,125,124,5.296250000000001,0.2525
2022-02-19,114,114,5.732916666666666,0.6125
2022-02-20,102,102,4.075833333333334,0.0
2022-02-21,119,119,5.077222222222222,0.0
2022-02-22,120,118,6.054166666666666,0.215
2022-02-23,113,113,5.280833333333334,0.0
2022-02-24,96,96,5.640138888888889,0.39319444444444446
2022-02-25,99,98,4.836666666666667,0.06111111111111111
2022-02-26,113,113,5.549166666666666,0.0
2022-02-27,99,98,4.492916666666667,0.0
2022-02-28,78,78,8.519027777777778,2.9913888888888893
2022-03-01,60,60,4.338472222222222,0.0
2022-03-02,75,75,4.923055555555556,0.0
2022-03-03,92,91,5.5125,0.1975
2022-03-04,71,69,6.764444444444444,0.3402777777777778
2022-03-05,77,74,4.411527777777778,0.17597222222222225
2022-03-06,68,66,5.043472222222222,0.5790277777777777
2022-03-07,68,68,7.211805555555555,3.6691666666666665
2022-03-08,71,71,4.698611111111111,0.0
2022-03-09,87,86,4.829166666666667,0.0
2022-03-10,43,42,11.932916666666667,2.5863888888888895
2022-03-11,53,53,9.401388888888889,4.220555555555555
2022-03-12,45,45,25.22,20.24694444444444
2022-03-13,70,68,5.694583333333333,0.0
2022-03-14,115,115,10.133055555555556,3.8258333333333345
2022-03-15,111,110,4.954305555555555,0.0
2022-03-16,98,98,5.412361111111111,0.3390277777777778
2022-03-17,83,83,7.726944444444444,0.1688888888888889
2022-03-18,56,56,5.897083333333333,0.5555555555555556
2022-03-19,65,65,4.251944444444445,0.0
2022-03-20,57,57,6.026111111111111,1.5774999999999997
2022-03-21,65,65,6.089166666666666,0.13333333333333333
2022-03-22,72,72,9.110416666666666,5.0358333333333345
2022-03-23,84,83,9.317777777777778,3.938055555555556
2022-03-24,81,81,5.9061111111111115,1.1883333333333332
2022-03-25,109,109,9.582777777777778,4.643055555555556
2022-03-26,87,87,7.445833333333334,0.36388888888888893
2022-03-27,127,127,6.1177777777777775,0.0
2022-03-28,62,62,6.873194444444445,0.0
2022-03-29,105,105,6.427777777777778,0.14972222222222223
2022-03-30,80,78,6.5569444444444445,0.8011111111111111
2022-03-31,66,64,4.3348611111111115,0.0
