Date,Tankers,LNG Ships,Bulk Carrier,General Cargo,Container Ships,RoRo,Car Carrier,Passenger Ships,Others,Total
01/01/2019,450,47,307,125,458,16,70,11,32,1516
01/02/2019,377,43,264,103,437,15,70,9,35,1353
01/03/2019,477,57,314,127,447,24,76,9,58,1589
01/04/2019,414,56,321,124,450,17,87,21,90,1580
01/05/2019,428,74,316,130,484,21,71,12,64,1600
01/06/2019,388,71,278,135,449,22,72,2,59,1476
01/07/2019,379,78,359,133,464,16,72,1,37,1539
01/08/2019,420,70,416,146,475,22,78,1,51,1679
01/09/2019,412,65,404,91,432,14,62,2,39,1521
01/10/2019,482,62,44,119,446,20,80,12,117,1382
01/11/2019,454,63,370,133,410,16,71,18,59,1594
01/12/2019,482,64,408,132,423,19,72,7,44,1651
